App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPR2NPT0tGcGlSaldjc251bDVsQlY1dlhDSDRJUHJ6Sk5BcHVTMTViS2xGcDQ4R0N4aC0zeF9FZ1hFX1hzSmh4V2x1Rm1sQkNWakRxd3Jhem9V,Dutch,,1,2016-04-05,Sytse Kempenaar,"","Only few cards supported, mainly austria",,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPRmdBS25uTEdLRm5keVRpcEJGS0tFVWc3VGhvOG5qcVJVUW9MSkFqdEZ4aEdJV0gwWXZrZEtiQ1VpSzVhVnZhWHJ4VnplNmowMElBS0VWYXZN,German,,5,2017-02-15,Johannes Liko,"","Vorsicht bei Handyhüllen mit Magnetischem Zuhaltemechanismus (hat bei mir eine Bankomartkarte vernichtet), da bei Bankomaten der Magnetstreifen auch überprüft wird. Verwende die app nur um mein Quickguthaben abzufragen.",,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPSFhhd0E0UjMyeGJXTmE5TGR6b2xzVGQzVDBuNzBKUDY1Nmhza0ViQ1c3T2lCRTJ2Z0NtZks4b1BfbXNFbE1sby1Say1rOVNURW5laW5QOWxV,German,,1,2016-10-24,Oliver Krause,"",0 Sterne weil's nicht geht,,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPRlZOSnJSZnZvdTNyeFg2VWpDNGpVWjdIUUx2T0x0aXpOX3NaRnNlZEh3YXhPbk11a0ZaNkhOdUZzUi0xb09IZmZiVndqYVZDdFNNX3c3aUxB,German,,1,2016-10-24,Ingo Müller,"",Geht gar nichts,,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPRU1PcG9VYzFiaDlaV2JJRUJ3TmI0aUg0b2hFUnhTcERHbnBfX2FGSU85NzE2LUstLXpzY3VtakxrM0RWZElBdmd3eXozbTFQMHhRX21hTEZn,German,,3,2016-03-06,Klaus Peter Rudolf,Anzeige noch immer falsch !             06.03.2016,"Datum Transaktionen stimmt noch immer nicht (Quick Los 2019). Kontrolle nicht möglich. Ihr habt zwar  geantwortet,aber nichts ist besser geworden.",,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPSGM5NmFJblkzd092LUhoVFBkeXVhMGxUanhYbW84ZUo0TGl5YkVjZXpEdmZqVzc3aTVzYnFVaUsweklFdldBS3diLWd6Z0NCdV80dWlEU0Mw,German,,1,2016-02-11,Holger Jakobs,"","IOException beim Lesen. Es wird auf das Log verwiesen. Beim Versuch, das Log zu öffnen, erfolgt ein Absturz.  Taugt nicht.",,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPRzBTc0ZVWDlZNkNVbGcxSHo5ZFRkMFM0RFM2NGtXMUFQNjRxWnlyekZXUWxITjlHZHZaM2lCOUcwYWJkc1hKa2hBVk5oUHVFZDh0RS1CQjk0,German,,1,2015-09-16,Heiko Schwarzenberg,"","Geht nicht bei S4 und die Frequenz für Österreichische Bank Karten, Stimmt nicht das S4 Liest nur 13,56 Mhz.  Also kann es nicht Funktionieren, und das ist schon mal Fakt.  Außerdem stützt die App Ab beim S4, sowie man eine Karte hin hält.  Mein Tipp nicht Installieren",,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPRWY3al91enE0b2ZqQ1ZfY0dtWFRoU0ZSZGp1WDNQRGtpNXk3NENLWTRkeDFSbGIzQ2pyT05VTzB2TnZPZkdtQktvTXhUX3NyQlR4QTNfUkdB,German,,3,2015-09-14,Werner Steinbrenner,Super Idee leider kein Scannstatus,Getestet mit One+ (CM 5.0.2) und nexus 7 2013 (Android 4.4). Bei beiden Geräten tut sich bei meiner Raika Bankomatkarte gar nichts. Wäre super wenn die App einen Status anzeigen würde ob sie eine Karte erkennt,,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPRm5Na2w0R2pBRDJ5UVpaSk9RemwwYkk3dVNON0x5SDhxU0xKRFlBQ3BRSTFlN1ctdmNZRWFSR3QteHpubnZDTENHM0lFN2ktS2dGaHRaeWdZ,German,,2,2015-09-02,Alexander Mannsbart,Anscheinend keine Funktionalität auf Samsung Galaxy S6 Edge,Weder Kredit- noch Bankomatkarten werden auf dem Galaxy S6 Edge erkannt. Es scheint so als ob nur bestimmte NFC Tags (bzw. Karten) auf diesem Smartphone ausgelesen werden können (auch andere NFCInfo Apps erkennen manche Tags nicht).Wahrscheinlich wurden gewisse Funktionen im Samsung- Androidbuild softwareseitig deaktiviert. Bitte um Feedback des Entwicklers:),,
Bankomat Card Infos 2,Google Play,at.zweng.bankomatinfos2,Z3A6QU9xcFRPSFkyVmVXb29aaGh6czkyUkkyY2NJbjhKQldlbzJqQXV1RjJta1Q0X2dWWmVXcHRoVlQxMkIyNVp2Ul9oTUFCY0g2X1VrYTJZemZaT0xSUHE0,German,,1,2015-09-01,Peter Unger,Handy zerstört Chip?,"Samsung S6 edge App hat kurz funktioniert, jetzt schon die 2. Karte defekt",,
